Gene	adj.P.Val	logFC	Regulation
ILMN_1765310	3.47791925827041e-17	-1.84936553078536	Downregulated
ILMN_1730229	3.731851815745e-17	-1.95531162782564	Downregulated
ILMN_2146761	4.13553075851224e-17	-2.72831228821886	Downregulated
ILMN_2349771	4.14713457160358e-17	-2.4513833167436	Downregulated
ILMN_1670708	4.21379873894985e-17	-1.28748325164922	Downregulated
ILMN_1778723	4.43011114056305e-17	-1.84567529406585	Downregulated
ILMN_1748473	4.51206375922318e-17	-1.9915120455922	Downregulated
ILMN_1680973	4.52948663538688e-17	-1.82464171916933	Downregulated
ILMN_1811313	4.63133142925383e-17	-1.62108014402012	Downregulated
ILMN_1680037	4.72236785831704e-17	-1.59517125271401	Downregulated
ILMN_1803423	4.85570102634399e-17	-1.74549848290623	Downregulated
ILMN_1689836	5.03929151347567e-17	-1.62100757959138	Downregulated
ILMN_1718936	5.76423590980424e-17	-1.98622081678861	Downregulated
ILMN_2186983	5.81671310230627e-17	-1.72074699686861	Downregulated
ILMN_1800078	5.8445586769355e-17	-1.87350280635737	Downregulated
ILMN_1730355	5.91423787690562e-17	-1.23341146167951	Downregulated
ILMN_1775235	6.11682189440823e-17	-1.59953933162691	Downregulated
ILMN_1690209	6.42624493428727e-17	-1.46567705839161	Downregulated
ILMN_1777362	7.61041083577964e-17	-1.22219761808383	Downregulated
ILMN_2347145	7.61675814357595e-17	-1.9300258480368	Downregulated
ILMN_2129234	8.24466029674166e-17	-1.81346441804608	Downregulated
ILMN_1713744	8.68052594996573e-17	-2.22396176674606	Downregulated
ILMN_1660890	9.76988522908531e-17	-1.4782895747907	Downregulated
ILMN_1687035	1.0404081634963e-16	-1.25599233694567	Downregulated
ILMN_1740606	1.0404081634963e-16	-1.40158701332738	Downregulated
ILMN_2223941	1.05938800348849e-16	-1.77861924771459	Downregulated
ILMN_1653504	1.19925968483839e-16	-1.90637462433474	Downregulated
ILMN_1677723	1.24561071029985e-16	-2.08709873298975	Downregulated
ILMN_1767068	1.32710435391359e-16	-2.39212115386664	Downregulated
ILMN_1753613	1.47736565860988e-16	-2.21657256213437	Downregulated
ILMN_1730454	1.59642910130761e-16	-2.19805442927824	Downregulated
ILMN_1659649	1.60172814851616e-16	-1.17558036735078	Downregulated
ILMN_1712082	1.61176255864702e-16	3.11626226590048	Upregulated
ILMN_1750912	1.65777781868306e-16	-1.74621839901581	Downregulated
ILMN_1768812	1.67082146629784e-16	-1.87527875798314	Downregulated
ILMN_1659027	1.80519266111298e-16	2.10292658411173	Upregulated
ILMN_1688423	1.83485644627382e-16	-2.15441429595997	Downregulated
ILMN_1797735	1.855057905696e-16	-1.5387501499657	Downregulated
ILMN_2082209	2.00731300731885e-16	-1.82099102486828	Downregulated
ILMN_1764030	2.05884619754432e-16	-1.49151524798584	Downregulated
ILMN_1726666	2.12816633490647e-16	-2.20247642666759	Downregulated
ILMN_2357419	2.12816633490647e-16	-1.15425393346509	Downregulated
ILMN_1752914	2.13220437550384e-16	-1.14813263419624	Downregulated
ILMN_1715463	2.26240234766643e-16	-2.3440511058949	Downregulated
ILMN_1755657	2.29091887565e-16	-2.06342490691084	Downregulated
ILMN_1795298	2.36004374548423e-16	-1.89879131498772	Downregulated
ILMN_2389054	2.43284251630748e-16	-3.62139070833656	Downregulated
ILMN_1655915	2.43691022150383e-16	2.87961804266484	Upregulated
ILMN_1686109	2.70899975007815e-16	-1.82872976702492	Downregulated
