Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Growth hormone synthesis, secretion and action	14/119	0.049502506969089	0.136020402032181	0	0	1.71134307585247	5.14383858591409	PRKCB;STAT1;IGFBP3;ADCY4;PIK3R1;FOS;SSTR2;SOCS2;GHR;SOCS3;CREB1;GNAQ;PLCG2;JUNB
Sphingolipid signaling pathway	14/119	0.049502506969089	0.136020402032181	0	0	1.71134307585247	5.14383858591409	ASAH1;FCER1G;PRKCB;PRKCE;PIK3R1;GAB2;SPTLC1;PPP2R2B;GNAQ;RAC2;S1PR1;FCER1A;MS4A2;S1PR4
Apoptosis	16/142	0.0524151917269188	0.142737798899199	0	0	1.63026381284221	4.80692872997019	JUN;GADD45B;PRF1;GZMB;PIK3R1;FOS;SEPTIN4;ACTG1;TUBA1B;TUBA1A;CTSL;CTSH;BIRC5;CTSC;MCL1;BIRC3
Shigellosis	25/246	0.0551397706924221	0.147747173952228	0	0	1.45392928991642	4.21331847296141	CXCL8;ARPC1B;PIK3R1;FOXO1;ACTG1;C3;HK3;UBB;CCL5;PLCG2;CASP1;NLRP3;CD14;H3-3B;GABARAPL2;GABARAPL1;JUN;PRKCE;IL1B;HKDC1;ELMO1;HCLS1;ITGA5;MYL9;CD44
Signaling pathways regulating pluripotency of stem cells	16/143	0.0552235338706688	0.147747173952228	0	0	1.61733929600263	4.6844066740738	BMPR2;FZD4;WNT3A;LIFR;PIK3R1;AXIN2;KLF4;TBX3;MEIS1;ID2;ID1;ID3;IL6ST;FGFR4;WNT2;JAK1
Bile secretion	11/90	0.0607242778506598	0.157177439719424	0	0	1.78595288326301	5.00318929619661	ABCC3;ABCB1;CA2;AQP9;SLC2A1;ADCY4;AQP4;ATP1B3;LDLR;SLC4A5;AQP1
Hypertrophic cardiomyopathy	11/90	0.0607242778506598	0.157177439719424	0	0	1.78595288326301	5.00318929619661	EDN1;IL6;DES;SGCA;ITGB4;TNNC1;ATP2A2;CACNA2D2;ITGA5;SGCG;ACTG1
Amphetamine addiction	9/69	0.0608096324160396	0.157177439719424	0	0	1.92326629680999	5.38515923752887	JUN;PPP3CC;CREB1;MAOB;PRKCB;MAOA;FOSB;FOS;STX1A
Renin secretion	9/69	0.0608096324160396	0.157177439719424	0	0	1.92326629680999	5.38515923752887	PTGER4;EDNRA;EDN1;PPP3CC;CREB1;GNAQ;AGTR1;ADRB2;AQP1
VEGF signaling pathway	8/59	0.0619499215077231	0.158779210587021	0	0	2.01084342260813	5.5930180852966	PLA2G4F;PPP3CC;PRKCB;PLA2G4C;RAC2;PLCG2;PIK3R1;PTGS2
