Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025	5/97	0.841187925565024	0.999995343838681	0	0	0.693705273919057	0.119969521236315	CDC20;CENPF;NEK7;BIRC5;AURKB
Macroautophagy R-HSA-1632852	6/114	0.843132509870413	0.999995343838681	0	0	0.708996539792388	0.120976891296986	GABARAPL2;GABARAPL1;UBB;EPAS1;CHMP4B;PLIN2
Peroxisomal Protein Import R-HSA-9033241	3/63	0.844956305668323	0.999995343838681	0	0	0.638432320441989	0.107556924284323	UBB;ZFAND6;ACOT2
Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012	5/98	0.847511147000536	0.999995343838681	0	0	0.686208896622496	0.113534145104615	RPL3;RPL21;RPL15;ATF3;RPS23
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389	2/45	0.847823384561944	0.999995343838681	0	0	0.594026353379235	0.0980636155490118	H2BC5;H3-3B
TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989	2/45	0.847823384561944	0.999995343838681	0	0	0.594026353379235	0.0980636155490118	UBB;AGER
Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273	1/25	0.848030648015697	0.999995343838681	0	0	0.532327586206897	0.0877480820515056	CCNB2
Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192	1/25	0.848030648015697	0.999995343838681	0	0	0.532327586206897	0.0877480820515056	XRCC2
Gap-filling DNA Repair Synthesis And Ligation In GG-NER R-HSA-5696397	1/25	0.848030648015697	0.999995343838681	0	0	0.532327586206897	0.0877480820515056	UBB
Polymerase Switching On C-strand Of Telomere R-HSA-174411	1/25	0.848030648015697	0.999995343838681	0	0	0.532327586206897	0.0877480820515056	TINF2
TRAF6 Mediated NF-kB Activation R-HSA-933542	1/25	0.848030648015697	0.999995343838681	0	0	0.532327586206897	0.0877480820515056	AGER
TRP Channels R-HSA-3295583	1/25	0.848030648015697	0.999995343838681	0	0	0.532327586206897	0.0877480820515056	TRPV2
Cellular Response To Heat Stress R-HSA-3371556	5/99	0.853624471199916	0.999995343838681	0	0	0.678872016715223	0.107440940553928	UBB;HSPB8;HSPA12B;CRYAB;TNFRSF21
Epigenetic Regulation Of Gene Expression R-HSA-212165	6/116	0.854603807932823	0.999995343838681	0	0	0.696030198175527	0.109358385438369	H2BC5;UHRF1;DPEP2;SAP18;ARID4B;H3-3B
HIV Infection R-HSA-162906	13/229	0.85555339474197	0.999995343838681	0	0	0.767298331015299	0.119703737398645	HMGA1;NEDD4L;CXCR4;RNASE1;HCK;UBB;MVB12B;AP1S2;ELMO1;CHMP4B;CD247;DOCK2;CHMP5
Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769	1/26	0.859069702658955	0.999995343838681	0	0	0.511006896551724	0.0776246131683447	DAPK2
FGFR2 Alternative Splicing R-HSA-6803529	1/26	0.859069702658955	0.999995343838681	0	0	0.511006896551724	0.0776246131683447	HNRNPA1
N-glycan Antennae Elongation In medial/trans-Golgi R-HSA-975576	1/26	0.859069702658955	0.999995343838681	0	0	0.511006896551724	0.0776246131683447	FUT3
Platelet Calcium Homeostasis R-HSA-418360	1/26	0.859069702658955	0.999995343838681	0	0	0.511006896551724	0.0776246131683447	ATP2A2
Signaling By ALK R-HSA-201556	1/26	0.859069702658955	0.999995343838681	0	0	0.511006896551724	0.0776246131683447	PIK3R1
KEAP1-NFE2L2 Pathway R-HSA-9755511	5/100	0.859532302888879	0.999995343838681	0	0	0.671689597437577	0.10167155299396	NQO1;NOTCH1;UBB;SESN1;HMOX1
Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553	9/167	0.863127693358683	0.999995343838681	0	0	0.726483084323812	0.106932958992304	RPL3;RPL21;UBB;COL4A5;SLIT3;LDB2;RPL15;SLIT2;RPS23
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459	3/66	0.866620050161474	0.999995343838681	0	0	0.607932123125493	0.0870283001953385	H2BC5;MYL9;H3-3B
SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	9/168	0.867563175592954	0.999995343838681	0	0	0.721874754664643	0.102554541011317	TFAP2A;NR4A2;TOP2A;HNRNPK;BIRC5;RORA;PPARG;AURKB;AURKA
CREB1 Phosphorylation Thru NMDA Receptor-Mediated Activation Of RAS Signaling R-HSA-442742	1/27	0.869307381751341	0.999995343838681	0	0	0.49132625994695	0.0688144176665409	CREB1
G0 And Early G1 R-HSA-1538133	1/27	0.869307381751341	0.999995343838681	0	0	0.49132625994695	0.0688144176665409	TOP2A
